# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -229 0 10834 2068 11047978 3 ./text-x-credits.png
DUPTYPE_FIRST_OCCURRENCE 45 0 11002 2068 11053833 3 ./application-mbox.png
DUPTYPE_WITHIN_SAME_TREE -45 0 11002 2068 11053887 3 ./message.png
DUPTYPE_WITHIN_SAME_TREE -45 0 11002 2068 11049851 3 ./message-rfc822.png
DUPTYPE_FIRST_OCCURRENCE 85 0 11061 2068 11048832 3 ./application-x-arc.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11053865 3 ./gnome-mime-application-x-archive.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11051903 3 ./gnome-mime-application-x-lhz.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11049928 3 ./gnome-mime-application-x-bzip-compressed.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11053779 3 ./gnome-mime-application-x-stuffit.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11053785 3 ./application-x-archive.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11048951 3 ./gnome-mime-application-x-tarz.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11053037 3 ./gnome-mime-application-x-lha.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11046996 3 ./application-x-lha.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11053025 3 ./application-x-bzip.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11046985 3 ./gnome-mime-application-x-arj.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11049918 3 ./gnome-mime-application-x-cpio.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11046965 3 ./application-x-lhz.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11046954 3 ./gnome-mime-application-x-compress.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11047970 3 ./application-x-compress.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11046934 3 ./application-x-bzip-compressed-tar.png
DUPTYPE_WITHIN_SAME_TREE -85 0 11061 2068 11051016 3 ./gnome-mime-application-x-cpio-compressed.png
DUPTYPE_FIRST_OCCURRENCE 437 0 11286 2068 11049888 3 ./folder.png
DUPTYPE_WITHIN_SAME_TREE -437 0 11286 2068 11046842 3 ./stock_folder.png
DUPTYPE_WITHIN_SAME_TREE -437 0 11286 2068 11050005 3 ./inode-directory.png
DUPTYPE_FIRST_OCCURRENCE 126 0 11291 2068 11050988 3 ./application-x-msdownload.png
DUPTYPE_WITHIN_SAME_TREE -126 0 11291 2068 11050019 3 ./gnome-exe-thumbnailer-template.png
DUPTYPE_WITHIN_SAME_TREE -126 0 11291 2068 11051980 3 ./gnome-exe-thumbnailer-generic.png
DUPTYPE_FIRST_OCCURRENCE 103 0 11379 2068 11052982 3 ./application-x-font-afm.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11051009 3 ./font.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11052941 3 ./gnome-mime-application-x-font-bdf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11053820 3 ./application-x-font-ttf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11051982 3 ./gnome-mime-x-font-afm.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11047948 3 ./application-x-font-pcf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11052998 3 ./gnome-mime-application-x-font-ttf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11047953 3 ./application-x-font-snf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11046998 3 ./font_truetype.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11051846 3 ./application-x-font-bdf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11049007 3 ./application-x-font-otf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11049929 3 ./gnome-mime-application-x-font-sunos-news.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11049925 3 ./gnome-mime-application-x-font-pcf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11047863 3 ./gnome-mime-application-x-font-linux-psf.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11047865 3 ./gnome-mime-application-x-font-afm.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11046891 3 ./application-x-font-type1.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11051866 3 ./font_bitmap.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11052892 3 ./font_type1.png
DUPTYPE_WITHIN_SAME_TREE -103 0 11379 2068 11050900 3 ./font-x-generic.png
DUPTYPE_FIRST_OCCURRENCE 627 0 11672 2068 11047877 3 ./gnome-mime-text-css.png
DUPTYPE_WITHIN_SAME_TREE -627 0 11672 2068 11048823 3 ./text-css.png
DUPTYPE_WITHIN_SAME_TREE -627 0 11672 2068 11046974 3 ./text-x-css.png
DUPTYPE_FIRST_OCCURRENCE 48 0 11987 2068 11047850 3 ./application-octet-stream.png
DUPTYPE_WITHIN_SAME_TREE -48 0 11987 2068 11053890 3 ./multipart-encrypted.png
DUPTYPE_WITHIN_SAME_TREE -48 0 11987 2068 11046976 3 ./application-x-object.png
DUPTYPE_WITHIN_SAME_TREE -48 0 11987 2068 11050915 3 ./application-x-ole-storage.png
DUPTYPE_WITHIN_SAME_TREE -48 0 11987 2068 11049826 3 ./application-x-sharedlib.png
DUPTYPE_FIRST_OCCURRENCE 120 0 12011 2068 11050936 3 ./application-x-kgetlist.png
DUPTYPE_WITHIN_SAME_TREE -120 0 12011 2068 11050993 3 ./source-smart-playlist.png
DUPTYPE_WITHIN_SAME_TREE -120 0 12011 2068 11049967 3 ./text-x-makefile.png
DUPTYPE_WITHIN_SAME_TREE -120 0 12011 2068 11052877 3 ./playlist-automatic.png
DUPTYPE_FIRST_OCCURRENCE 931 0 12111 2068 11049938 3 ./libreoffice-main.png
DUPTYPE_WITHIN_SAME_TREE -931 0 12111 2068 11048003 3 ./libreoffice-template.png
DUPTYPE_WITHIN_SAME_TREE -931 0 12111 2068 11053028 3 ./libreoffice3-template.png
DUPTYPE_WITHIN_SAME_TREE -931 0 12111 2068 11047814 3 ./libreoffice34-template.png
DUPTYPE_WITHIN_SAME_TREE -931 0 12111 2068 11047881 3 ./libreoffice-startcenter.png
DUPTYPE_FIRST_OCCURRENCE 404 0 12132 2068 11049887 3 ./folder-drag-accept.png
DUPTYPE_WITHIN_SAME_TREE -404 0 12132 2068 11051876 3 ./stock_open.png
DUPTYPE_WITHIN_SAME_TREE -404 0 12132 2068 11053014 3 ./folder-open.png
DUPTYPE_WITHIN_SAME_TREE -404 0 12132 2068 11048933 3 ./folder_open.png
DUPTYPE_FIRST_OCCURRENCE 134 0 12264 2068 11052885 3 ./application-x-rpm.png
DUPTYPE_WITHIN_SAME_TREE -134 0 12264 2068 11053814 3 ./rpm.png
DUPTYPE_WITHIN_SAME_TREE -134 0 12264 2068 11052902 3 ./gnome-mime-application-x-rpm.png
DUPTYPE_FIRST_OCCURRENCE 732 0 12440 2068 11052993 3 ./gtk-floppy.png
DUPTYPE_WITHIN_SAME_TREE -732 0 12440 2068 11046887 3 ./system-floppy.png
DUPTYPE_WITHIN_SAME_TREE -732 0 12440 2068 11048925 3 ./media-floppy.png
DUPTYPE_FIRST_OCCURRENCE 102 0 12912 2068 11047841 3 ./application-x-flash-video.png
DUPTYPE_WITHIN_SAME_TREE -102 0 12912 2068 11052013 3 ./gnome-mime-application-x-shockwave-flash.png
DUPTYPE_WITHIN_SAME_TREE -102 0 12912 2068 11047857 3 ./application-x-shockwave-flash.png
DUPTYPE_FIRST_OCCURRENCE 64 0 13090 2068 11047942 3 ./application-vnd.oasis.opendocument.spreadsheet-template.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11053749 3 ./libreoffice-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11053795 3 ./text-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11048986 3 ./libreoffice-spreadsheet-template.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11048981 3 ./application-vnd.sun.xml.calc.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11049935 3 ./office-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11046859 3 ./gnome-mime-application-vnd.stardivision.calc.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11050932 3 ./application-x-gnumeric.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11048970 3 ./spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11049019 3 ./x-office-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11050860 3 ./gnome-mime-application-vnd.sun.xml.calc.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11052924 3 ./gnome-mime-application-vnd.oasis.opendocument.spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11048944 3 ./libreoffice-oasis-spreadsheet-template.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11048935 3 ./gnome-mime-application-x-kspread.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11053855 3 ./gnome-mime-application-x-applix-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11052937 3 ./application-vnd.oasis.opendocument.spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11046833 3 ./gnome-mime-application-x-gnumeric.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11049987 3 ./gnome-mime-application-vnd.lotus-1-2-3.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11049994 3 ./libreoffice-oasis-spreadsheet.png
DUPTYPE_WITHIN_SAME_TREE -64 0 13090 2068 11051943 3 ./openofficeorg3-oasis-spreadsheet.png
DUPTYPE_FIRST_OCCURRENCE 379 0 13297 2068 11046956 3 ./filename-discnumber-amarok.png
DUPTYPE_WITHIN_SAME_TREE -379 0 13297 2068 11046959 3 ./media-optical-copy.png
DUPTYPE_WITHIN_SAME_TREE -379 0 13297 2068 11048824 3 ./tools-media-optical-copy.png
DUPTYPE_FIRST_OCCURRENCE 40 0 13646 2068 11050010 3 ./application-7zip.png
DUPTYPE_WITHIN_SAME_TREE -40 0 13646 2068 11048911 3 ./application-x-7zip.png
DUPTYPE_WITHIN_SAME_TREE -40 0 13646 2068 11047002 3 ./gnome-mime-application-x-7z-compressed.png
DUPTYPE_WITHIN_SAME_TREE -40 0 13646 2068 11051849 3 ./gnome-mime-application-x-7zip.png
DUPTYPE_WITHIN_SAME_TREE -40 0 13646 2068 11052022 3 ./application-x-7z-compressed.png
DUPTYPE_WITHIN_SAME_TREE -40 0 13646 2068 11052958 3 ./p7zip.png
DUPTYPE_FIRST_OCCURRENCE 43 0 13914 2068 11049957 3 ./application-illustrator.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11048889 3 ./application-vnd.sun.xml.draw.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11049973 3 ./office-illustration.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11049897 3 ./image-x-svg+xml.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11052876 3 ./gnome-mime-application-vnd.sun.xml.draw.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11047004 3 ./x-office-drawing.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11046990 3 ./openofficeorg3-drawing.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11051842 3 ./application-vnd.oasis.opendocument.graphics.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11051020 3 ./svg.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11046977 3 ./vnd.oasis.opendocument.drawing.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11046817 3 ./image-svg+xml.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11046909 3 ./gnome-mime-application-vnd.oasis.opendocument.image.png
DUPTYPE_WITHIN_SAME_TREE -43 0 13914 2068 11050837 3 ./gnome-mime-application-vnd.oasis.opendocument.graphics.png
DUPTYPE_FIRST_OCCURRENCE 22 0 13939 2068 11046921 3 ./accessories-character-map.png
DUPTYPE_WITHIN_SAME_TREE -22 0 13939 2068 11046933 3 ./gucharmap.png
DUPTYPE_WITHIN_SAME_TREE -22 0 13939 2068 11046828 3 ./kcharselect.png
DUPTYPE_WITHIN_SAME_TREE -22 0 13939 2068 11049917 3 ./gnome-character-map.png
DUPTYPE_FIRST_OCCURRENCE 1435 0 14042 2068 11051978 3 ./ubuntuone-client.png
DUPTYPE_WITHIN_SAME_TREE -1435 0 14042 2068 11053850 3 ./ubuntuone.png
DUPTYPE_FIRST_OCCURRENCE 55 0 14079 2068 11048886 3 ./application-vnd.ms-excel.png
DUPTYPE_WITHIN_SAME_TREE -55 0 14079 2068 11048980 3 ./gnome-mime-application-vnd.ms-excel.png
DUPTYPE_WITHIN_SAME_TREE -55 0 14079 2068 11052928 3 ./application-vnd.openxmlformats-officedocument.spreadsheetml.sheet.png
DUPTYPE_FIRST_OCCURRENCE 41 0 14108 2068 11047930 3 ./application-atom+xml.png
DUPTYPE_WITHIN_SAME_TREE -41 0 14108 2068 11047919 3 ./gnome-mime-application-rss+xml.png
DUPTYPE_WITHIN_SAME_TREE -41 0 14108 2068 11049847 3 ./application-rss+xml.png
DUPTYPE_WITHIN_SAME_TREE -41 0 14108 2068 11046818 3 ./gnome-mime-application-atom+xml.png
DUPTYPE_FIRST_OCCURRENCE 94 0 14323 2068 11046911 3 ./application-x-compressed-tar.png
DUPTYPE_WITHIN_SAME_TREE -94 0 14323 2068 11052952 3 ./gnome-mime-application-x-compressed-tar.png
DUPTYPE_WITHIN_SAME_TREE -94 0 14323 2068 11049873 3 ./application-x-gzip.png
DUPTYPE_WITHIN_SAME_TREE -94 0 14323 2068 11048833 3 ./gnome-mime-application-x-gzip.png
DUPTYPE_FIRST_OCCURRENCE 638 0 14341 2068 11053753 3 ./gnome-mime-text-x-copying.png
DUPTYPE_WITHIN_SAME_TREE -638 0 14341 2068 11049852 3 ./text-x-copying.png
DUPTYPE_FIRST_OCCURRENCE 255 0 14517 2068 11051920 3 ./bookmarks-organize.png
DUPTYPE_WITHIN_SAME_TREE -255 0 14517 2068 11049990 3 ./folder-bookmarks.png
DUPTYPE_WITHIN_SAME_TREE -255 0 14517 2068 11053792 3 ./folder-bookmark.png
DUPTYPE_WITHIN_SAME_TREE -255 0 14517 2068 11052884 3 ./bookmarks.png
DUPTYPE_WITHIN_SAME_TREE -255 0 14517 2068 11052945 3 ./folder-favorites.png
DUPTYPE_WITHIN_SAME_TREE -255 0 14517 2068 11049969 3 ./user-bookmarks.png
DUPTYPE_FIRST_OCCURRENCE 993 0 15154 2068 11050972 3 ./media-optical-burn.png
DUPTYPE_WITHIN_SAME_TREE -993 0 15154 2068 11050960 3 ./tools-media-optical-burn.png
DUPTYPE_WITHIN_SAME_TREE -993 0 15154 2068 11051908 3 ./tools-media-optical-burn-image.png
DUPTYPE_FIRST_OCCURRENCE 171 0 15160 2068 11048882 3 ./applications-java.png
